,telework_score,percent_freq_or_always_mask_use,percent_republican_2016_pres,population_total,percent_uninsured,percent_below_poverty_line,percent_households_more_people_than_rooms,percent_racial_minority,percent_without_high_school_diploma,percent_over_65,population_density,distance_traveled_from_home_percent_increase_jan_to_april,median_home_dwell_time_percent_increase_jan_to_april,median_non_home_dwell_time_percent_increase_jan_to_april,median_percentage_time_home_percent_increase_jan_to_april,percentage_completely_home_percent_increase_jan_to_april,start_date,end_date,num_days,starting_cases_100k,ending_cases_100k,net_cases,avg_new_cases
6001,0.4120833301360535,0.9179999999999999,0.14661009436528874,1643700,5.1,10.6,7.7,68.2,12.0,13.1,2229.35150547726,-43.93976583163367,21.847325250808808,-8150.757575757573,19.965951651344923,45.80719648787442,2020-04-19,2021-01-30,286,71.53,4440.19,4368.66,15.275034965034964
6003,0.3187703074957996,0.802,0.36046511627906974,1146,10.3,19.8,2.3,40.8,11.1,25.6,1.5521304358843162,-49.08870251372442,53.89302156929535,-808.6513994910943,36.28540887226082,56.86523789503646,2020-07-05,2021-01-30,209,96.25,6929.74,6833.49,32.69612440191388
6011,0.2477075780913476,0.851,0.5354342581423401,21464,10.3,13.8,6.9,64.3,30.6,13.8,18.652791529644308,-22.740659673099685,3.4804610261213575,-178.26086956521743,10.001479508803088,16.213385890067368,2020-08-09,2021-01-30,174,1715.3,9019.3,7303.999999999999,41.97701149425287
6013,0.3864484426806112,0.927,0.2487392073792031,1133247,5.7,9.1,4.8,55.6,10.6,15.0,1580.3603463152135,-47.57668280680832,22.58883160797683,-2965.965346534653,18.629659975419923,44.644464235974766,2020-04-26,2020-06-20,55,71.53,196.1,124.57,2.2649090909090908
6015,0.2674503000462051,0.7430000000000001,0.5371416614354467,27424,6.3,22.5,4.7,37.4,19.0,16.7,27.25427763808205,-10.72869904321406,5.827141181071564,-118.97344228804904,8.742097231305836,15.186657393028948,2020-05-17,2021-01-30,258,29.1,3211.49,3182.39,12.334844961240309
6019,0.2818480144813029,0.897,0.4393930270367917,978130,9.5,24.1,9.3,70.2,24.7,11.7,164.1682181314079,-14.500765910040373,7.9671052347870255,-353.1572997416022,13.904138513513516,28.262117289485374,2020-07-05,2021-01-30,209,620.61,8931.86,8311.25,39.766746411483254
6025,0.25995914072109083,0.9640000000000001,0.26416585223846456,180216,9.3,24.2,10.5,89.0,31.0,12.5,43.14919563023861,-14.711711162759638,13.515703127966873,-341.23752495009984,10.827326856784715,20.706082830961712,2020-07-05,2021-01-30,209,3895.39,14413.31,10517.92,50.324976076555025
6027,0.2792771206861695,0.947,0.5253524610437794,18085,6.4,10.2,1.9,37.0,11.2,22.9,1.7763596428596378,26.192707761180305,1.5525584130887768,-261.24925991711075,12.759489916963235,24.41382954867043,2020-05-10,2021-01-30,265,111.25,5829.67,5718.42,21.578943396226414
6041,0.43794380673283945,0.943,0.15631888449304604,260295,4.0,7.6,4.1,28.6,6.8,21.0,500.1282203136402,-63.14350879733541,29.556847636196604,-4011.6267465069873,20.215670215670208,44.53323920019578,2020-04-26,2021-01-30,279,86.17,4724.88,4638.71,16.62620071684588
6045,0.2975426317217871,0.992,0.29052485524455,87422,9.3,18.5,5.1,34.4,13.1,20.4,24.932429897962393,-24.1147384274701,9.01392100330184,-187.1580978322551,12.607766427588215,13.474650095586831,2020-04-26,2020-05-16,20,12.61,14.9,2.290000000000001,0.11450000000000005
